"director","title_count"
"Errol Morris","2"
"Shin Won-ho","2"
"Taika Waititi","2"
"Joyce Bernal","2"
"Federico Lemos","2"
"Peter Orton","2"
"Shakun Batra","2"
"John Hillcoat","2"
"Paul Soriano","2"
"Paul Verhoeven","2"
"Andrew Niccol","2"
"Erik Canuel","2"
"Will Yapp","2"
"Satish Kaushik","2"
"Jonathan Mostow","2"
"M. Night Shyamalan","2"
"Ahmed Zain","2"
"Frank Rajah Arase","2"
"David Dobkin","2"
"Peter Jackson","2"
"James Toback","2"
"Sean Cisterna","2"
"Christopher Smith","2"
"Bruno Garotti","2"
"Basu Chatterjee","2"
"N. Linguswamy","2"
"Lasse Hallström","2"
"Abba T. Makama","2"
"Wes Craven","2"
"Spike Jonze","2"
"Tate Taylor","2"
"J.A. Bayona","2"
"Hussein Kamal","2"
"Rizal Mantovani","2"
"Navaniat Singh","2"
"Bruce Beresford","2"
"Oz Rodriguez","2"
"Robert Altman","2"
"Vikas Bahl","2"
"Guillermo del Toro","2"
"Banjong Pisanthanakun","2"
"Claire Scanlon","2"
"Brian Robbins","2"
"Cristi Puiu","2"
"Alex Zamm","2"
"George C. Wolfe","2"
"John G. Avildsen","2"
"Jose Manuel Colón","2"
"Chanda Bell","2"
"Isaac Ezban","2"
"Alex Woo, Stanley Moore","2"
"Justin Webster","2"
"Sean Penn","2"
"Angelina Jolie","2"
"Frank Oz","2"
"Jeremy Kenyon Lockyer Corbell","2"
"Ziad Doueiri","2"
"Neil Jordan","2"
"Tsutomu Mizushima","2"
"Kasia Uscinska","2"
"Tigmanshu Dhulia","2"
"James Bobin","2"
"Kazuchika Kise","2"
"Trivikram Srinivas","2"
"Darren Lynn Bousman","2"
"Sriram Raghavan","2"
"Abhijit Panse","2"
"Dallas Jackson","2"
"Àlex Pastor, David Pastor","2"
"Sekhar Kammula","2"
"Dino Risi","2"
"Dennie Gordon","2"
"Janusz Majewski","2"
"Brian Volk-Weiss","2"
"Shigeaki Kubo, Tsuyoshi Nakakuki","2"
"Avadhoot Gupte","2"
"Jack C. Newell","2"
"Duncan Jones","2"
"Aditya Sarpotdar","2"
"Ted Emery","2"
"Jeethu Joseph","2"
"Danny Boyle","2"
"Greg Rankin, TJ Sullivan","2"
"Punit Malhotra","2"
"George Ford","2"
"Tom Ford","2"
"Raditya Dika","2"
"Toa Fraser","2"
"Oluseyi Asurf","2"
"James McTeigue","2"
"Adze Ugah","2"
"Bonni Cohen, Jon Shenk","2"
"Steven Brill","2"
"John Duigan","2"
"Daniel Alfredson","2"
"Aanand Rai","2"
"Jacob Kornbluth","2"
"Clark Johnson","2"
"Mar Targarona","2"
"Kim A. Snyder","2"
"Mysskin","2"
